Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,3/29/2021,Juan Garcia,OATI,NB,6-19,38.05846368,-122.8093945
Incidental,3/28/2021,Juan Garcia,HUVI,NB,6-8,38.05906592,-122.8161295
Incidental,3/29/2021,Juan Garcia,ALHU,NB,6-8,38.05906592,-122.8161295
Incidental,4/9/2021,Susan Kelly 	,BLPH,NB,12-19,38.060218,-122.544432
Incidental,4/5/2021,Juan Garcia,WTKI,NB,6-19,38.06132041,-122.8070893
Incidental,3/5/2022,Bob Battagin,ALHU,NB,9-8,38.061424,-122.699823
Incidental,3/23/2022,Nancy Hanson,OATI,NB,9-8,38.06182561,-122.6980729
Incidental,3/5/2022,Bob Battagin,BUSH,NB,9-8,38.062203,-122.69801
Incidental,4/20/2021,Nancy Hanson,SPTO,NB,6-8,38.06226767,-122.8178691
Incidental,3/25/2022,David Sexton,NOMO,NB,12-18,38.0628,-122.4932
Incidental,4/25/2021,Juan Garcia,SOSP,NB,6-6,38.06286,-122.8168
Incidental,5/28/2021,Juan Garcia,SOSP,NB,6-6,38.06294,-122.81494
Incidental,7/17/2022,Beth Schriock,AMRO,NB,12-17,38.0674,-122.55454
Incidental,4/23/2022,Nancy Hanson,EUST,NB,6-17,38.06862017,-122.8089603
Incidental,5/3/2022,Bob Battagin,BUSH,NB,6-17,38.070464,-122.799437
Incidental,4/11/2024,Rusty Scalf,BRBL,NB,9-17,38.0729444,-122.678372
Incidental,4/10/2022,Nancy Hanson,CLSW,NB,6-17,38.07476516,-122.8110937
Incidental,1/18/2023,David Tomb,RSHA,NB,12-18,38.0788647,-122.527996
Incidental,5/15/2022,Nancy Hanson,WEBL,NB,6-6,38.08279397,-122.8147095
Incidental,3/8/2022,Sylvie Silverstein,BUSH,NB,12-6,38.0829,-122.5934
Incidental,4/4/2022,David Sexton,AMCR,NB,6-17,38.0829,-122.8039
Incidental,5/26/2022,Joel Hedgpeth,CBCH,NB,12-4,38.08732,-122.580383
Incidental,3/28/2024,Daphne Hatch,GTGR,NB,12-15,38.090241,-122.557975
Incidental,7/28/2021,Bob Battagin,SPTO,NB,6-16,38.092073,-122.754252
Incidental,4/21/2022,Nancy Hanson,BLPH,NB,12-3,38.09215497,-122.5976874
Incidental,4/15/2022,Lisa Michl,BUSH,NB,12-15,38.0926145,-122.5391053
Incidental,3/11/2022,Sylvie Silverstein,WEBL,NB,12-15,38.0936,-122.5366
Incidental,3/13/2022,Bob Battagin,OATI,NB,12-15,38.095646,-122.534152
Incidental,4/9/2021,Tom Gardali,CORA,NB,6-3,38.1009,-122.85557
